place_name,province,description,source_url,source
Ha Noi,Ha Noi,"Founded over 1000 years ago, Vietnam’s capital city is rich in history, with the streets of its rambling Old Quarter dating back to the 14th century. Wandering these tree-lined lanes past crumbling colonial facades will transport you back in time. However, today's Hanoi is about much more than the p",https://vietnam.travel/places-to-go/northern-vietnam/ha-noi,vietnam.travel
Gallery,Ha Noi,"Founded over 1000 years ago, Vietnam’s capital city is rich in history, with the streets of its rambling Old Quarter dating back to the 14th century. Wandering these tree-lined lanes past crumbling colonial facades will transport you back in time. However, today's Hanoi is about much more than the p",https://vietnam.travel/places-to-go/northern-vietnam/ha-noi,vietnam.travel
Top things to do in Hanoi,Ha Noi,"Founded over 1000 years ago, Vietnam’s capital city is rich in history, with the streets of its rambling Old Quarter dating back to the 14th century. Wandering these tree-lined lanes past crumbling colonial facades will transport you back in time. However, today's Hanoi is about much more than the p",https://vietnam.travel/places-to-go/northern-vietnam/ha-noi,vietnam.travel
Northern Vietnam,Ha Noi,"Founded over 1000 years ago, Vietnam’s capital city is rich in history, with the streets of its rambling Old Quarter dating back to the 14th century. Wandering these tree-lined lanes past crumbling colonial facades will transport you back in time. However, today's Hanoi is about much more than the p",https://vietnam.travel/places-to-go/northern-vietnam/ha-noi,vietnam.travel
Ha Giang,Ha Giang,"A border province and official Frontier Area, Ha Giang lies in the remote far northern region of the country. To visit this province is to journey back in time and encounter some of Vietnam’s most rugged and grand landscapes. Ha Giang is best experienced as a road trip on two wheels, soaking up the ",https://vietnam.travel/places-to-go/northern-vietnam/ha-giang,vietnam.travel
Top things to do in Ha Giang,Ha Giang,"A border province and official Frontier Area, Ha Giang lies in the remote far northern region of the country. To visit this province is to journey back in time and encounter some of Vietnam’s most rugged and grand landscapes. Ha Giang is best experienced as a road trip on two wheels, soaking up the ",https://vietnam.travel/places-to-go/northern-vietnam/ha-giang,vietnam.travel
Ha Long,Ha Long,"For many, the seascape of Ha Long Bay is synonymous with Vietnam. Cruises sail emerald green waters among thousands of rugged islands and islets, stopping at spectacular caves through which visitors can wander, viewing impressive, centuries-old formations.
Ha Long Bay's mystical beauty
has made it a",https://vietnam.travel/places-to-go/northern-vietnam/ha-long,vietnam.travel
Top things to do in Ha Long Bay,Ha Long,"For many, the seascape of Ha Long Bay is synonymous with Vietnam. Cruises sail emerald green waters among thousands of rugged islands and islets, stopping at spectacular caves through which visitors can wander, viewing impressive, centuries-old formations.
Ha Long Bay's mystical beauty
has made it a",https://vietnam.travel/places-to-go/northern-vietnam/ha-long,vietnam.travel
Ninh Binh,Ninh Binh,"Far too few travellers make it to Ninh Binh, a mesmerizing area known locally as ‘Ha Long Bay on Land’ thanks to its magical riverine landscape, with sheer limestone mountains rising up from the paddies. The best way to get a sense of this UNESCO-protected site is by taking a paddleboat tour along i",https://vietnam.travel/places-to-go/northern-vietnam/ninh-binh,vietnam.travel
Top things to do in Ninh Binh,Ninh Binh,"Far too few travellers make it to Ninh Binh, a mesmerizing area known locally as ‘Ha Long Bay on Land’ thanks to its magical riverine landscape, with sheer limestone mountains rising up from the paddies. The best way to get a sense of this UNESCO-protected site is by taking a paddleboat tour along i",https://vietnam.travel/places-to-go/northern-vietnam/ninh-binh,vietnam.travel
Sapa,Sapa,"Sapa town stands at the head of a deep valley of magnificent rice terraces that are still farmed today as they have been for centuries. Backdrops don’t get much more spectacular. Enticing ribbons of road lead the eye down to the valley floor, white-water rivers rush among rice fields, and lush green mountains stretch into the distance as far as the eye can see. The highest peak in the region, Moun",https://vietnam.travel/places-to-go/northern-vietnam/sapa,vietnam.travel
Da Nang,Da Nang,"With broad beaches, fantastic street food, the fabled Hai Van Pass, and a growing collection of cafes, restaurants, and bars, it’s no wonder the residents of Da Nang sport some of the broadest smiles in the country. The warm sands of My Khe Beach sweep south from the mountainous Son Tra Peninsula. D",https://vietnam.travel/places-to-go/central-vietnam/da-nang,vietnam.travel
Top things to do in Da Nang,Da Nang,"With broad beaches, fantastic street food, the fabled Hai Van Pass, and a growing collection of cafes, restaurants, and bars, it’s no wonder the residents of Da Nang sport some of the broadest smiles in the country. The warm sands of My Khe Beach sweep south from the mountainous Son Tra Peninsula. D",https://vietnam.travel/places-to-go/central-vietnam/da-nang,vietnam.travel
Hue,Hue,"Hue is a city chock-full of stories. The Kings of the Nguyen Dynasty built their feudal capital along Hue’s fertile riverbanks and atop its forested hills, but their imperial legacy is just one of many reasons to visit. Hue’s refined cuisine is the stuff of legend, and its leafy streets are lined with mossy pagodas, art déco mansions, and eye-popping markets. Through the whole scene flows the Perf",https://vietnam.travel/places-to-go/central-vietnam/hue,vietnam.travel
Top things to do in Hue,Hue,"Hue is a city chock-full of stories. The Kings of the Nguyen Dynasty built their feudal capital along Hue’s fertile riverbanks and atop its forested hills, but their imperial legacy is just one of many reasons to visit. Hue’s refined cuisine is the stuff of legend, and its leafy streets are lined wi",https://vietnam.travel/places-to-go/central-vietnam/hue,vietnam.travel
Hoi An,Hoi An,"Hoi An is a place where the bold march of progress peters into a leisurely amble. In this one-time trading port, the Thu Bon River meanders past crumbling shop houses and weathered pagodas, while sampans come and go from the old ferry quay. Outside the Old Town, two-lane roads slice through waving r",https://vietnam.travel/places-to-go/central-vietnam/hoi-an,vietnam.travel
